epoch,total,recon,phys,lambda_phys,GradNorm,pred_Mean_K,pred_Mean_dP/dy,pred_FlowRate,pred_Porosity,pred_Anisotropy
1,0.6188147068023682,0.2808586657047272,0.3100513815879822,1.09,0.0036082672953057227,1.005005955696106,-0.007528220769017935,0.0006961553590372205,0.0024484219029545784,0.9970219135284424
2,0.6467142105102539,0.28086137771606445,0.3100447952747345,1.18,0.0027386089773586697,1.0049995183944702,-0.007519806269556284,0.0006991016562096775,0.002460186369717121,0.9970149397850037
3,0.6746087074279785,0.2808619737625122,0.3100368082523346,1.27,0.02360379267227586,1.0049949884414673,-0.00751325860619545,0.0007012599962763488,0.002477022120729089,0.9970031976699829
4,0.7024721503257751,0.2808588445186615,0.31000977754592896,1.3599999999999999,0.012398591351246324,1.0049924850463867,-0.007504310924559832,0.0007015048176981509,0.0025434433482587337,0.9969989061355591
5,0.730286717414856,0.28085631132125854,0.3099520206451416,1.45,0.0616235471627391,1.0049934387207031,-0.007472193334251642,0.0007018042379058897,0.0026899378281086683,0.997014045715332
6,0.7581355571746826,0.2808539867401123,0.30992311239242554,1.54,0.11828489598893555,1.004975438117981,-0.00745727214962244,0.000705505779478699,0.002749249106273055,0.9970023036003113
7,0.7858561873435974,0.2808536887168884,0.30981749296188354,1.6300000000000001,0.049301950398536576,1.0049299001693726,-0.007418986409902573,0.00071300333365798,0.002981966594234109,0.9969571828842163
8,0.8136149048805237,0.2808447480201721,0.3097500801086426,1.72,0.03406772405986658,1.0048913955688477,-0.007409129291772842,0.0007214491488412023,0.003123338334262371,0.9969394207000732
9,0.8413086533546448,0.28084760904312134,0.30964699387550354,1.81,0.03205519395085332,1.004866123199463,-0.007411861326545477,0.0007440841873176396,0.00336513202637434,0.9969284534454346
10,0.8691166639328003,0.2808489501476288,0.3096145987510681,1.9,0.0760126302684867,1.0048481225967407,-0.007408715784549713,0.0007516421610489488,0.0034336179960519075,0.9969091415405273
11,0.896859884262085,0.28085198998451233,0.3095516860485077,1.99,0.04496485059565458,1.004838466644287,-0.00742623396217823,0.0007628687308169901,0.003585187718272209,0.9969483613967896
12,0.9246886968612671,0.280848890542984,0.3095383942127228,2.08,0.007310961380813552,1.004831314086914,-0.007426973432302475,0.0007624969002790749,0.0036133029498159885,0.9969585537910461
13,0.9524680376052856,0.2808423638343811,0.309504896402359,2.17,0.06785240384617452,1.004802942276001,-0.007424115668982267,0.0007731705554760993,0.0036773215979337692,0.9968843460083008
14,0.9802443385124207,0.2808232307434082,0.30947837233543396,2.2600000000000002,0.04240702759566517,1.0048036575317383,-0.007422905880957842,0.0007853927672840655,0.0037450268864631653,0.9968795776367188
15,1.0076630115509033,0.2808045446872711,0.3093014657497406,2.3499999999999996,0.20552164653088312,1.0047569274902344,-0.0074244006536901,0.000819105189293623,0.004156732931733131,0.9969498515129089
16,1.0351574420928955,0.28078916668891907,0.3091672956943512,2.44,0.3340312926731883,1.0046261548995972,-0.007407091557979584,0.0008175850962288678,0.004396617412567139,0.9969215989112854
17,1.0617748498916626,0.2807450592517853,0.30870741605758667,2.5300000000000002,0.32160866808436595,1.0043270587921143,-0.0073601617477834225,0.0008635445265099406,0.005334013141691685,0.9968388676643372
18,1.0859174728393555,0.2806355059146881,0.3073595464229584,2.62,2.1047001713285454,1.003528118133545,-0.007395504042506218,0.0009499175357632339,0.008141452446579933,0.9971620440483093
19,1.1065000295639038,0.28049835562705994,0.3047976493835449,2.71,2.2779025466562643,1.001886010169983,-0.007481149397790432,0.001197583507746458,0.013413838110864162,0.9971866011619568
20,1.1197293996810913,0.2802460193634033,0.29981550574302673,2.8,7.230024371886202,0.9988417029380798,-0.007583380211144686,0.0018970661330968142,0.023884018883109093,0.996382474899292
21,1.1233655214309692,0.27989843487739563,0.2918570935726166,2.8899999999999997,11.269573793224481,0.9942461252212524,-0.007492439821362495,0.00277061783708632,0.04107173532247543,0.9955741167068481
22,1.1263192892074585,0.2796846330165863,0.2841055989265442,2.98,6.333259846914871,0.9902324080467224,-0.007394797634333372,0.003642262425273657,0.058492109179496765,0.9959076642990112
23,1.1373273134231567,0.27951759099960327,0.27941685914993286,3.0700000000000003,3.366187660640321,0.9878329634666443,-0.007064297329634428,0.004225444048643112,0.06922361999750137,0.9957952499389648
24,1.1539634466171265,0.2794429361820221,0.2767469882965088,3.16,2.8845890586516134,0.9859160780906677,-0.00699240667745471,0.004510015249252319,0.07495663315057755,0.9952800869941711
25,1.1701183319091797,0.2794278860092163,0.27405858039855957,3.25,3.329201677821402,0.9841903448104858,-0.006889852695167065,0.004673301707953215,0.08093278110027313,0.9949206113815308
26,1.1859639883041382,0.27941614389419556,0.27142152190208435,3.34,2.2143957557502745,0.9820523858070374,-0.0067781247198581696,0.004778871778398752,0.08648233860731125,0.9940687417984009
27,1.2007997035980225,0.2793947458267212,0.2686311602592468,3.43,4.719443731744377,0.9802609086036682,-0.006597546860575676,0.004990125074982643,0.09277644753456116,0.9935128092765808
28,1.2017439603805542,0.27938786149024963,0.26203298568725586,3.5200000000000005,14.297873417629944,0.9755011200904846,-0.006187621038407087,0.005149899981915951,0.10738742351531982,0.9940176606178284
29,1.1854244470596313,0.2793980538845062,0.2509768605232239,3.61,16.517396942620508,0.9666867852210999,-0.005059228278696537,0.004920618142932653,0.13178573548793793,0.9944873452186584
30,1.1468994617462158,0.279526948928833,0.23442497849464417,3.6999999999999997,20.992685565206102,0.9526557922363281,-0.0032717350404709578,0.002689329208806157,0.16914646327495575,0.9937806129455566
