Mean_K,Mean_dP/dy,FlowRate,Porosity,Anisotropy,Type
0.24864642322063446,0.00018991348042618483,0.00038245017640292645,0.9954417853841636,1.0137593746185303,real
0.24801036715507507,0.0002185724733863026,0.0004383271443657577,0.9929483821573921,1.005362629890442,real
0.24961932003498077,0.00015042615996208042,0.00030372707988135517,0.9987960354644483,1.0190430879592896,real
0.24954409897327423,0.00015916112170089036,0.0003204238601028919,0.9984065175264756,1.0131405591964722,real
0.24796201288700104,0.00022095927852205932,0.00044683762826025486,0.992925182029425,1.0222160816192627,real
0.2490161657333374,0.00017863333050627261,0.00036054401425644755,0.9965908022482145,1.0182899236679077,real
0.2498316913843155,0.00014966521121095866,0.00030142709147185087,0.999452965403725,1.0139412879943848,real
0.24926400184631348,0.00017207719793077558,0.0003465989138931036,0.9974785124077947,1.0141470432281494,real
0.24887917935848236,0.0001877884496934712,0.00038026622496545315,0.9960987153234403,1.0249168872833252,real
0.24795253574848175,0.00022988920682109892,0.0004619249957613647,0.9920692194133787,1.009293556213379,real
0.2483185976743698,0.00017433521861676127,0.0003509280504658818,0.9951255310081921,1.0128918886184692,real
0.2487189918756485,0.0001897818292491138,0.0003837058902718127,0.9957690292944352,1.0217725038528442,real
0.24838685989379883,0.0003059857408516109,0.0006113537820056081,0.993577227731235,0.9979487061500549,real
0.2491074502468109,0.00020584352023433894,0.0004132350441068411,0.9965602757640474,1.0074714422225952,real
0.24562141299247742,0.0002504097647033632,0.0005020602839067578,0.9851030757264387,1.00491464138031,real
0.24847593903541565,0.00018481587176211178,0.00037126828101463616,0.9954051536031631,1.0088003873825073,real
0.24984346330165863,0.00014979462139308453,0.00030156085267663,0.9994383126913248,1.013094425201416,real
0.2495456486940384,0.00017122052668128163,0.00034313814830966294,0.9982612114618401,1.0040127038955688,real
0.24982306361198425,0.00015280327352229506,0.0003074599080719054,0.9993858071385573,1.012062907218933,real
0.24321304261684418,0.0004022871144115925,0.0008033469202928245,0.9750732940884853,0.9969243407249451,real
0.23864780366420746,0.0005750373238697648,0.0011561124119907618,0.9580871372385255,1.0104823112487793,real
0.24227744340896606,0.00047797735896892846,0.0009593373397365212,0.971566411587365,1.0070557594299316,real
0.2497284710407257,0.00014960771659389138,0.0003016149566974491,0.9990805422968859,1.0159708261489868,real
0.2497076541185379,0.00015085769700817764,0.0003032957611139864,0.9990500158127188,1.010408878326416,real
0.24702635407447815,0.00023795485321898013,0.00047800340689718723,0.9898371228910778,1.0087562799453735,real
0.24819405376911163,0.0002103034348692745,0.0004215903172735125,0.9937347443895375,1.0046285390853882,real
0.24941286444664001,0.00016424299974460155,0.0003294150228612125,0.997885125176901,1.005595326423645,real
0.249515101313591,0.0001602771517354995,0.0003220920916646719,0.9982270217995729,1.0095317363739014,real
0.2493981271982193,0.00015824158617760986,0.00031903997296467423,0.9977849983088328,1.0160934925079346,real
0.23227769136428833,0.0010084167588502169,0.0020281625911593437,0.9318013922518898,1.011224627494812,real
0.2471810281276703,0.00025279089459218085,0.000507540418766439,0.9894378364781717,1.007708191871643,real
0.24925610423088074,0.0001757275458658114,0.0003531300462782383,0.9973063430370921,1.0094741582870483,real
0.24785634875297546,0.00024055199173744768,0.00048258877359330654,0.9924343161640176,1.006130576133728,real
0.24285197257995605,0.00044905010145157576,0.0008986128377728164,0.9732624630476909,1.0011192560195923,real
0.23256435990333557,0.0009612202411517501,0.0019251194316893816,0.9318746558138911,1.0027766227722168,real
0.24886183440685272,0.00021409893815871328,0.0004286802723072469,0.9956493654765001,1.0022063255310059,real
0.24825014173984528,0.0002718126052059233,0.0005426504067145288,0.9931791623776957,0.9963769912719727,real
0.24856041371822357,0.00020757487800437957,0.0004146735882386565,0.9948398031163878,0.9976580739021301,real
0.24720226228237152,0.0002176662819692865,0.00043528585229068995,0.9905441162643887,0.999739408493042,real
0.24750933051109314,0.00022649051970802248,0.00045367958955466747,0.9913976367617017,1.0030399560928345,real
0.2494243085384369,0.00015473765961360186,0.0003108980308752507,0.9983137170146076,1.0091291666030884,real
0.24957264959812164,0.00016415765276178718,0.000328993919538334,0.998369885745475,1.0040727853775024,real
0.24833227694034576,0.00020614372624550015,0.0004144232952967286,0.9940070406283084,1.0103119611740112,real
0.242120623588562,0.00045666744699701667,0.0009156503947451711,0.9698129703368048,1.005048394203186,real
0.24620480835437775,0.00028763312730006874,0.0005758089828304946,0.9863522194585579,1.001852035522461,real
0.24935729801654816,0.0001668321347096935,0.00033636734588071704,0.9976726608470977,1.016141414642334,real
0.24948479235172272,0.00016365053306799382,0.00032958679366856813,0.9982221375621061,1.0139051675796509,real
0.24674156308174133,0.00026929352316074073,0.0005420094239525497,0.9883486515230884,1.0126711130142212,real
0.24974173307418823,0.0001531524903839454,0.00030971504747867584,0.99913060573092,1.022199034690857,real
0.24947452545166016,0.00016081365174613893,0.0003239468205720186,0.9983344750238412,1.0143605470657349,real
0.2494136244058609,0.0001609223836567253,0.0003233658499084413,0.9981049158629043,1.0093895196914673,real
0.2496330738067627,0.00015456201799679548,0.0003102823975495994,0.9988082460581151,1.0074293613433838,real
0.24356025457382202,0.0004261911672074348,0.0008533502696081996,0.9754750226201248,1.0022475719451904,real
0.2493681013584137,0.0001673070655670017,0.00033825181890279055,0.9976262605911637,1.0216816663742065,real
0.2459736317396164,0.0003204263048246503,0.0006418057018890977,0.9849797487304035,1.0029430389404297,real
0.2496594786643982,0.00015561374311801046,0.0003121353220194578,0.9987020138932134,1.0057692527770996,real
0.24973897635936737,0.00014619722787756473,0.0002948170294985175,0.9992331747177216,1.0165011882781982,real
0.24459348618984222,0.0004054196469951421,0.000811889476608485,0.9794581182742523,1.002565622329712,real
0.2494686096906662,0.00016050388512667269,0.00032227078918367624,0.9982135901465393,1.0078063011169434,real
0.24956347048282623,0.00015099611482582986,0.0003037316491827369,0.9986739295277797,1.0114526748657227,real
0.24955889582633972,0.0001785746426321566,0.00035854330053552985,0.9982135901465393,1.0077497959136963,real
0.24980372190475464,0.00015960383461788297,0.000319424900226295,0.9992270694208881,1.0012983083724976,real
0.2487913817167282,0.00019855526625178754,0.0003963169874623418,0.9954918488181977,0.9959532618522644,real
0.23816761374473572,0.0006429411005228758,0.0012832824140787125,0.9551749106489809,0.9959409236907959,real
0.22373999655246735,0.00038551416946575046,0.000768832047469914,0.9849090576171875,0.9942771196365356,synthetic
0.2170935869216919,0.000386887404602021,0.0007727739284746349,0.978057861328125,0.997387170791626,synthetic
0.20928247272968292,0.000390055647585541,0.0007707849144935608,0.9551239013671875,0.9760645627975464,synthetic
0.24489018321037292,0.00037428989890031517,0.0007508305134251714,0.9965667724609375,1.0059864521026611,synthetic
0.2161208987236023,0.0003897789865732193,0.0007741291774436831,0.9742279052734375,0.9860467910766602,synthetic
0.20845240354537964,0.0003901351592503488,0.0007800829480402172,0.9629669189453125,0.9994940757751465,synthetic
0.2435145080089569,0.00037970568519085646,0.0007580685196444392,0.996551513671875,0.9964372515678406,synthetic
